SDIE v4 RAG Pipeline — Inizio Slab with tag.dxf
Processed: 2026-06-05T10:18:43.067619+00:00
Components classified: 5809
Graph: 5809 nodes, 8402 edges

Slabs detected: 697
Total area:      44267.978 m²
Total concrete:  9198.433 m³
Total shuttering:44267.978 m²

Benchmark overall accuracy: 0.0%
  SLAB-108: 31.428 m², 200 mm (local_thk_label), 6.286 m³
  SLAB-109: 82.479 m², 200 mm (local_thk_label), 16.496 m³
  SLAB-110: 28.228 m², 200 mm (local_thk_label), 5.646 m³
  SLAB-111: 28.377 m², 200 mm (local_thk_label), 5.675 m³
  SLAB-112: 1.328 m², 200 mm (local_thk_label), 0.266 m³
  SLAB-113: 15.174 m², 200 mm (local_thk_label), 3.035 m³
  SLAB-114: 3.715 m², 200 mm (local_thk_label), 0.743 m³
  SLAB-115: 109.528 m², 200 mm (local_thk_label), 21.906 m³
  SLAB-116: 136.132 m², 200 mm (local_thk_label), 27.226 m³
  SLAB-117: 51.067 m², 200 mm (local_thk_label), 10.213 m³
  SLAB-118: 58.985 m², 200 mm (local_thk_label), 11.797 m³
  SLAB-119: 22.693 m², 200 mm (local_thk_label), 4.539 m³
  SLAB-120: 14.520 m², 200 mm (local_thk_label), 2.904 m³
  SLAB-121: 27.769 m², 200 mm (local_thk_label), 5.554 m³
  SLAB-122: 21.571 m², 200 mm (local_thk_label), 4.314 m³
  SLAB-123: 37.008 m², 200 mm (local_thk_label), 7.402 m³
  SLAB-124: 149.018 m², 200 mm (local_thk_label), 29.804 m³
  SLAB-125: 165.000 m², 200 mm (local_thk_label), 33.000 m³
  SLAB-126: 807.165 m², 200 mm (local_thk_label), 161.433 m³
  SLAB-127: 54.142 m², 200 mm (local_thk_label), 10.828 m³
  SLAB-128: 63.156 m², 200 mm (local_thk_label), 12.631 m³
  SLAB-129: 61.671 m², 200 mm (local_thk_label), 12.334 m³
  SLAB-130: 63.641 m², 200 mm (local_thk_label), 12.728 m³
  SLAB-131: 35.226 m², 200 mm (local_thk_label), 7.045 m³
  SLAB-132: 17.922 m², 200 mm (local_thk_label), 3.584 m³
  SLAB-133: 44.377 m², 200 mm (local_thk_label), 8.875 m³
  SLAB-134: 23.430 m², 200 mm (local_thk_label), 4.686 m³
  SLAB-135: 3.626 m², 200 mm (local_thk_label), 0.725 m³
  SLAB-136: 0.406 m², 200 mm (local_thk_label), 0.081 m³
  SLAB-137: 34.749 m², 200 mm (local_thk_label), 6.950 m³
  SLAB-138: 140.680 m², 200 mm (local_thk_label), 28.136 m³
  SLAB-139: 540.102 m², 200 mm (local_thk_label), 108.020 m³
  SLAB-140: 44.235 m², 200 mm (local_thk_label), 8.847 m³
  SLAB-141: 86.629 m², 200 mm (local_thk_label), 17.326 m³
  SLAB-142: 551.499 m², 200 mm (local_thk_label), 110.300 m³
  SLAB-143: 3.002 m², 200 mm (local_thk_label), 0.600 m³
  SLAB-144: 14.980 m², 200 mm (local_thk_label), 2.996 m³
  SLAB-145: 3.064 m², 200 mm (local_thk_label), 0.613 m³
  SLAB-146: 2.071 m², 200 mm (local_thk_label), 0.414 m³
  SLAB-147: 7.220 m², 200 mm (local_thk_label), 1.444 m³
  SLAB-148: 11.604 m², 200 mm (local_thk_label), 2.321 m³
  SLAB-149: 2.194 m², 200 mm (local_thk_label), 0.439 m³
  SLAB-150: 12.239 m², 200 mm (local_thk_label), 2.448 m³
