SDIE v5 Structural Reasoning Pipeline — Inizio - Slab beam_Raw_Revised1.dxf
Processed: 2026-06-08T08:53:09.186988+00:00
Components classified: 8961
Graph: 8961 nodes, 12526 edges
Review queue: 8961 entities (100.0% below 75.0%)

Slabs detected: 983
Total area:      29001.013 m²
Total concrete:  6172.664 m³
Total shuttering:29001.013 m²

  SLAB-253: 0.631 m², 200 mm (200 THK), 0.126 m³
  SLAB-254: 0.646 m², 200 mm (200 THK), 0.129 m³
  SLAB-255: 0.601 m², 200 mm (200 THK), 0.120 m³
  SLAB-256: 46.469 m², 200 mm (default_note), 9.294 m³
  SLAB-257: 0.419 m², 200 mm (default_note), 0.084 m³
  SLAB-258: 0.419 m², 200 mm (200 THK), 0.084 m³
  SLAB-259: 1.431 m², 200 mm (default_note), 0.286 m³
  SLAB-260: 1.442 m², 200 mm (default_note), 0.288 m³
  SLAB-261: 0.657 m², 200 mm (default_note), 0.131 m³
  SLAB-262: 0.538 m², 200 mm (default_note), 0.108 m³
  SLAB-263: 0.477 m², 200 mm (default_note), 0.095 m³
  SLAB-264: 0.466 m², 200 mm (default_note), 0.093 m³
  SLAB-265: 0.657 m², 200 mm (default_note), 0.131 m³
  SLAB-266: 0.583 m², 200 mm (default_note), 0.117 m³
  SLAB-267: 0.607 m², 200 mm (default_note), 0.121 m³
  SLAB-268: 0.510 m², 200 mm (default_note), 0.102 m³
  SLAB-269: 0.837 m², 200 mm (default_note), 0.167 m³
  SLAB-270: 1.446 m², 200 mm (default_note), 0.289 m³
  SLAB-271: 0.510 m², 200 mm (default_note), 0.102 m³
  SLAB-272: 0.510 m², 200 mm (default_note), 0.102 m³
  SLAB-273: 0.607 m², 200 mm (200 THK), 0.121 m³
  SLAB-274: 0.623 m², 200 mm (200 THK), 0.125 m³
  SLAB-275: 0.626 m², 200 mm (200 THK), 0.125 m³
  SLAB-276: 45.262 m², 200 mm (default_note), 9.052 m³
  SLAB-277: 0.419 m², 200 mm ({\fSwis721 LtCn BT|b1|i0|c0|p34;\LALL SLABS ARE 200 THK U.O.N}), 0.084 m³
  SLAB-278: 0.419 m², 200 mm (200 THK), 0.084 m³
  SLAB-279: 1.431 m², 200 mm (default_note), 0.286 m³
  SLAB-280: 1.442 m², 200 mm (default_note), 0.288 m³
  SLAB-281: 0.657 m², 200 mm (default_note), 0.131 m³
  SLAB-282: 0.538 m², 200 mm (default_note), 0.108 m³
  SLAB-283: 1.062 m², 200 mm (default_note), 0.212 m³
  SLAB-284: 0.477 m², 200 mm (default_note), 0.095 m³
  SLAB-285: 0.466 m², 200 mm (default_note), 0.093 m³
  SLAB-286: 0.657 m², 200 mm (default_note), 0.131 m³
  SLAB-287: 0.583 m², 200 mm (default_note), 0.117 m³
  SLAB-288: 0.607 m², 200 mm (default_note), 0.121 m³
  SLAB-289: 0.510 m², 200 mm (default_note), 0.102 m³
  SLAB-290: 0.837 m², 200 mm (default_note), 0.167 m³
  SLAB-291: 1.446 m², 200 mm (default_note), 0.289 m³
  SLAB-292: 0.510 m², 200 mm (default_note), 0.102 m³
  SLAB-293: 0.510 m², 200 mm (default_note), 0.102 m³
  SLAB-294: 0.537 m², 200 mm (200 THK), 0.107 m³
  SLAB-295: 0.544 m², 200 mm (200 THK), 0.109 m³
  SLAB-296: 0.626 m², 200 mm (200 THK), 0.125 m³
  SLAB-297: 31.685 m², 200 mm (default_note), 6.337 m³
  SLAB-298: 0.419 m², 200 mm (default_note), 0.084 m³
  SLAB-299: 0.419 m², 200 mm (200 THK), 0.084 m³
  SLAB-300: 1.431 m², 200 mm (default_note), 0.286 m³
  SLAB-301: 1.442 m², 200 mm (default_note), 0.288 m³
  SLAB-302: 0.657 m², 200 mm (default_note), 0.131 m³
  SLAB-303: 0.538 m², 200 mm (default_note), 0.108 m³
  SLAB-304: 0.477 m², 200 mm (default_note), 0.095 m³
  SLAB-305: 0.466 m², 200 mm (default_note), 0.093 m³
  SLAB-306: 0.657 m², 200 mm (default_note), 0.131 m³
  SLAB-307: 0.583 m², 200 mm (default_note), 0.117 m³
  SLAB-308: 0.607 m², 200 mm (default_note), 0.121 m³
  SLAB-309: 0.510 m², 200 mm (default_note), 0.102 m³
  SLAB-310: 0.837 m², 200 mm (default_note), 0.167 m³
  SLAB-311: 1.446 m², 200 mm (default_note), 0.289 m³
  SLAB-312: 0.510 m², 200 mm (default_note), 0.102 m³
  SLAB-313: 0.510 m², 200 mm (default_note), 0.102 m³
  SLAB-314: 0.607 m², 200 mm (200 THK), 0.121 m³
  SLAB-315: 0.623 m², 200 mm (200 THK), 0.125 m³
  SLAB-316: 0.685 m², 200 mm (200 THK), 0.137 m³
  SLAB-317: 28.478 m², 200 mm (default_note), 5.696 m³
  SLAB-318: 0.419 m², 200 mm (default_note), 0.084 m³
  SLAB-319: 0.419 m², 200 mm (200 THK), 0.084 m³
  SLAB-320: 1.431 m², 200 mm (default_note), 0.286 m³
  SLAB-321: 1.442 m², 200 mm (default_note), 0.288 m³
  SLAB-322: 0.657 m², 200 mm (default_note), 0.131 m³
  SLAB-323: 0.538 m², 200 mm (default_note), 0.108 m³
  SLAB-324: 0.477 m², 200 mm (default_note), 0.095 m³
  SLAB-325: 0.466 m², 200 mm (default_note), 0.093 m³
  SLAB-326: 0.657 m², 200 mm (default_note), 0.131 m³
  SLAB-327: 0.583 m², 200 mm (default_note), 0.117 m³
  SLAB-328: 0.607 m², 200 mm (default_note), 0.121 m³
  SLAB-329: 0.510 m², 200 mm (default_note), 0.102 m³
  SLAB-330: 0.837 m², 200 mm (default_note), 0.167 m³
  SLAB-331: 1.446 m², 200 mm (default_note), 0.289 m³
  SLAB-332: 0.510 m², 200 mm (default_note), 0.102 m³
  SLAB-333: 0.510 m², 200 mm (default_note), 0.102 m³
  SLAB-334: 0.607 m², 200 mm (default_note), 0.121 m³
  SLAB-335: 0.623 m², 200 mm (default_note), 0.125 m³
  SLAB-336: 0.626 m², 200 mm (200 THK), 0.125 m³
  SLAB-337: 27.626 m², 200 mm (default_note), 5.525 m³
  SLAB-338: 11.119 m², 200 mm (default_note), 2.224 m³
  SLAB-339: 1.177 m², 200 mm (default_note), 0.235 m³
  SLAB-340: 0.628 m², 200 mm (default_note), 0.126 m³
  SLAB-341: 1.030 m², 200 mm (default_note), 0.206 m³
  SLAB-342: 0.628 m², 200 mm (default_note), 0.126 m³
  SLAB-343: 0.409 m², 200 mm (default_note), 0.082 m³
  SLAB-344: 0.994 m², 200 mm (default_note), 0.199 m³
  SLAB-345: 0.409 m², 200 mm (default_note), 0.082 m³
  SLAB-346: 0.672 m², 200 mm (default_note), 0.134 m³
  SLAB-347: 1.169 m², 200 mm (default_note), 0.234 m³
  SLAB-348: 0.464 m², 200 mm (default_note), 0.093 m³
  SLAB-349: 0.464 m², 200 mm (default_note), 0.093 m³
  SLAB-350: 0.409 m², 200 mm (default_note), 0.082 m³
  SLAB-351: 9.583 m², 200 mm (200 THK), 1.917 m³
  SLAB-352: 0.488 m², 200 mm (default_note), 0.098 m³
  SLAB-353: 0.501 m², 200 mm (default_note), 0.100 m³
  SLAB-354: 9.694 m², 200 mm (200 THK), 1.939 m³
  SLAB-355: 0.503 m², 200 mm (200 THK), 0.101 m³
  SLAB-356: 22.281 m², 200 mm (default_note), 4.456 m³
  SLAB-357: 10.797 m², 200 mm (default_note), 2.159 m³
  SLAB-358: 12.807 m², 200 mm (default_note), 2.561 m³
  SLAB-359: 1.208 m², 200 mm (default_note), 0.242 m³
  SLAB-360: 0.628 m², 200 mm (default_note), 0.126 m³
  SLAB-361: 1.030 m², 200 mm (default_note), 0.206 m³
  SLAB-362: 0.628 m², 200 mm (default_note), 0.126 m³
  SLAB-363: 0.519 m², 200 mm (default_note), 0.104 m³
  SLAB-364: 0.409 m², 200 mm (default_note), 0.082 m³
  SLAB-365: 0.436 m², 200 mm (default_note), 0.087 m³
  SLAB-366: 0.839 m², 200 mm (default_note), 0.168 m³
  SLAB-367: 0.537 m², 200 mm (default_note), 0.107 m³
  SLAB-368: 0.672 m², 200 mm (default_note), 0.134 m³
  SLAB-369: 0.961 m², 200 mm (default_note), 0.192 m³
  SLAB-370: 0.413 m², 200 mm (default_note), 0.083 m³
  SLAB-371: 0.445 m², 200 mm (default_note), 0.089 m³
  SLAB-372: 0.427 m², 200 mm (default_note), 0.085 m³
  SLAB-373: 0.450 m², 200 mm (200 THK), 0.090 m³
  SLAB-374: 0.429 m², 200 mm (default_note), 0.086 m³
  SLAB-375: 0.408 m², 200 mm (default_note), 0.082 m³
  SLAB-376: 0.563 m², 200 mm (default_note), 0.113 m³
